,logFC,mod_t,p,fdr_all,kME,fdr_in_module
OGDH,0.11926616610896801,1.8442105220405964,0.06892900139197072,0.38815643908853514,0.5784906460554611,0.1193001947168724
CPNE3,0.14106864831433796,1.8376281348339083,0.06990467088604453,0.3900749905139933,0.577539575738114,0.11945734898248116
GAK,0.13959640074345536,2.149094529121434,0.034711027799811014,0.331369646922676,0.5771426947218619,0.08677756949952754
SCAP,0.07108271369884189,1.1447979592168709,0.2557747546717962,0.5892998517981806,0.57666480153085,0.30184454545319156
SOX12,0.025656582289016683,0.40146709112698375,0.6891681737310699,0.8677201293064477,0.5745071393379474,0.718437864507293
CCDC22,0.20634480910105957,2.9093363895142934,0.004710835044971545,0.26470869863932694,0.5735779645083477,0.0374095724159505
MAP4K2,0.13672700322306275,2.45356586293094,0.016362651663046738,0.28378085387596064,0.5735642686237009,0.059188693162389235
MED15,0.13951381484248504,2.018241509684834,0.04698542532922635,0.3615224496973158,0.5733695578339425,0.09752436750282513
PEPD,0.10484830181011562,1.5836383522237192,0.11730071302209528,0.456566109433702,0.5726267290190505,0.16688330269483367
MIR7114,0.09386532732078834,1.261378328585978,0.21091181687847554,0.5503202604788208,0.5715316687331561,0.2624248412773659
VENTX,0.14664051412089574,2.318867290792811,0.023007395816356524,0.30071249536087663,0.5654450031672307,0.06698660847349959
RBM42,0.09214779345253232,1.3020705495198608,0.1967036879452102,0.5364869076746915,0.5630379259371482,0.25170614097254385
POMT1,0.17236810156754956,2.587208352383233,0.011523652523582898,0.2791810710045774,0.5630293225963535,0.050183648086570685
MOGS,0.07797726121433124,1.2251135815202365,0.22419935376610292,0.5618494838028706,0.5614555749285846,0.2726748897155306
PARP4,0.1035969692074552,1.6549662568999823,0.10192829054399367,0.4371963510231866,0.5595383328115366,0.15330301816090675
SPATA20,0.2275327188004308,2.532799104353946,0.013311411213731557,0.2795059819889614,0.5562107274685513,0.05364300041354508
C19orf54,0.13139293271748498,1.9352132451083535,0.05656920202900484,0.3745051756894751,0.5521303339237368,0.10657276777861187
CPTP,0.12015043828738259,1.9299140918738782,0.05723352343666193,0.37512962087467394,0.5512990135126351,0.10657276777861187
CEACAM21,0.1499006232235116,1.7073262530541817,0.09171788240756001,0.4230604712416975,0.5498081236235937,0.14232085201173106
BCKDHA,0.13512371311943294,1.644075678446221,0.10416383064321134,0.4390538261387551,0.5467186753796308,0.15368434029326264
HNRNPUL1,0.09304066957377266,1.479383318838159,0.14304380336614245,0.48427780623582545,0.5460224255545822,0.1940795322053189
